Ids,Location1,Location2,Type,Bedrooms,Bathrooms,Size_in_SqYds,Price_in_millions,Built_in_year,Parking_Spaces,Floors_in_Building,Elevators,Store_Rooms,Lobby_in_Building,Double_Glazed_Windows,Central_Air_Conditioning,Central_Heating,Waste_Disposal,Furnished,Service_Elevators_in_Building,Flooring,Electricity_Backup,Servant_Quarters,Study_Room,Prayer_Room,Powder_Room,Gym,Lounge_or_Sitting_Room,Laundry_Room,Business_Center_or_Media_Room_in_Building,Satellite_or_Cable_TV_Ready,Broadband_Internet_Access,Intercom,Conference_Room_in_Building,Community_Swimming_Pool,Community_Lawn_or_Garden,Community_Gym,Community_Center,First_Aid_or_Medical_Centre,Day_Care_center,Kids_Play_Area,Mosque,Barbeque_Area,Lawn_or_Garden,Swimming_Pool,Sauna,Jacuzzi,Nearby_Schools,Nearby_Hospital,Nearby_Shopping_Malls,Nearby_Restaurants,Nearby_Public_Transport_Service,Other_Nearby_Places,Security_Staff,Maintainance_Staff,Laundry_or_Dry_Cleaning_Facility,Facilities_for_Disabled
9,"Bahria Apartments, Bahria Town Karachi",Bahria Town Karachi,Flat,4,4,328,28,,1,,,,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
56,"Bahria Apartments, Bahria Town Karachi",Bahria Town Karachi,Flat,2,2,106,8.2,,1,,,,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
87,"Bahria Apartments, Bahria Town Karachi",Bahria Town Karachi,Flat,,,106,7.2,,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
127,"Bahria Apartments, Bahria Town Karachi",Bahria Town Karachi,Flat,3,3,283,24.5,1/1/2020,200,7,1,,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
165,"Bahria Apartments, Bahria Town Karachi",Bahria Town Karachi,Flat,3,3,250,17.5,,1,,,,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
251,"Bahria Apartments, Bahria Town Karachi",Bahria Town Karachi,Flat,2,2,106,10.3,1/1/2019,200,7,5,,1,1,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
279,"Bahria Apartments, Bahria Town Karachi",Bahria Town Karachi,Flat,2,2,106,8.5,,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0,0,0
311,"Bahria Apartments, Bahria Town Karachi",Bahria Town Karachi,Flat,2,2,106,8,,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0
367,"Bahria Apartments, Bahria Town Karachi",Bahria Town Karachi,Flat,3,3,250,17.5,,1,,,,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,Bahria Town Karachi,,Flat,1,,,4.5,1/1/2025,0,8,2,,1,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
77,Bahria Town Karachi,Bahria Town Karachi,House,3,4,152,14.5,,1,,,,0,1,1,1,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
149,Bahria Town Karachi,Bahria Town Karachi,Flat,2,2,91,7,,0,8,,,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0
161,Bahria Town Karachi,Bahria Town Karachi,House,3,3,79,7.12,,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
166,Bahria Town Karachi,Bahria Town Karachi,House,3,3,125,14.5,,1,,,,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
169,Bahria Town Karachi,Bahria Town Karachi,House,3,3,235,15.8,,0,,,,0,0,0,0,1,0,0,1,1,1,1,1,0,1,1,0,0,0,0,0,0,0,1,1,1,1,0,1,1,1,1,0,0,0,1,1,1,1,1,1,0,0,0,0
179,Bahria Town Karachi,Bahria Town Karachi,Flat,2,2,33,2.68,,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
185,Bahria Town Karachi,Bahria Town Karachi,Flat,2,2,35,2.78,,0,,,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
201,Bahria Town Karachi,Bahria Town Karachi,House,5,6,500,55,,1,,,,0,1,1,1,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202,Bahria Town Karachi,Bahria Town Karachi,Flat,1,1,60,4.2,,1,,4,,1,1,1,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
203,Bahria Town Karachi,Bahria Town Karachi,House,4,4,250,34,,1,,,,0,1,1,1,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
228,Bahria Town Karachi,Bahria Town Karachi,House,4,5,350,19.8,,2,,,,0,1,1,1,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
275,Bahria Town Karachi,Bahria Town Karachi,House,5,5,272,18.5,1/1/2023,0,,,,0,1,1,1,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
280,Bahria Town Karachi,Bahria Town Karachi,House,5,6,272,39.5,1/1/2023,2,,,,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
351,Bahria Town Karachi,Bahria Town Karachi,Flat,2,2,94,7,,1,,,,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
358,Bahria Town Karachi,,Flat,1,,,8,,0,,,,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0
436,Bahria Town Karachi,Bahria Town Karachi,Flat,2,2,35,2.78,,0,,,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
453,Bahria Town Karachi,Bahria Town Karachi,Flat,2,2,35,2.78,,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
481,Bahria Town Karachi,,Flat,1,,,5,,0,,,,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0
508,Bahria Town Karachi,,Flat,1,,,3,,0,,,,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0
520,Bahria Town Karachi,Bahria Town Karachi,House,3,4,235,15.5,1/1/2022,0,,,,0,1,1,1,1,0,0,1,1,1,0,0,0,0,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
523,Bahria Town Karachi,Bahria Town Karachi,House,4,5,350,20.6,1/1/2022,0,,,,0,1,1,1,1,0,0,1,1,1,0,0,1,0,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
524,Bahria Town Karachi,Bahria Town Karachi,House,4,5,350,21,1/1/2022,0,,,,0,1,1,1,1,1,0,1,1,1,0,0,1,0,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
635,Bahria Town Karachi,Bahria Town Karachi,Flat,2,2,35,2.78,,0,,,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
153,"Askari 5, Malir Cantonment, Cantt",Cantt,Flat,3,3,286,37,,0,,,,0,0,0,0,1,0,1,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
154,"Askari 5, Malir Cantonment, Cantt",Cantt,Flat,4,4,333,46,,1,,,,0,0,0,0,1,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
300,"Askari 5, Malir Cantonment, Cantt",Cantt,Flat,4,4,330,46.5,,1,,2,,0,0,0,0,1,0,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
429,"Askari 5, Malir Cantonment, Cantt",Cantt,Flat,4,4,333,37.5,,1,,2,,0,0,0,0,1,0,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
438,"Askari 5, Malir Cantonment, Cantt",Cantt,Flat,4,4,333,46,,1,,,,0,0,0,0,1,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
462,"Askari 5, Malir Cantonment, Cantt",Cantt,Flat,3,3,286,37.5,,1,,,,0,0,0,0,1,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
463,"Askari 5, Malir Cantonment, Cantt",Cantt,Flat,3,3,286,38.5,,1,,,,0,0,0,0,1,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
464,"Askari 5, Malir Cantonment, Cantt",Cantt,Flat,3,3,286,34.5,,1,,,,0,0,0,0,1,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
465,"Askari 5, Malir Cantonment, Cantt",Cantt,Flat,3,3,286,37,,1,,,,0,0,0,0,1,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
466,"Askari 5, Malir Cantonment, Cantt",Cantt,Flat,3,3,286,36.5,,1,,,,0,0,0,0,1,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
487,"Askari 5, Malir Cantonment, Cantt",Cantt,Flat,3,3,286,35.5,,1,,,,0,0,0,0,1,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
488,"Askari 5, Malir Cantonment, Cantt",Cantt,Flat,3,3,286,37.5,,1,,,,0,0,0,0,1,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
489,"Askari 5, Malir Cantonment, Cantt",Cantt,Flat,3,3,286,38,,1,,,,0,0,0,0,1,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
515,"Askari 5, Malir Cantonment, Cantt",Cantt,Flat,3,4,286,39,,0,9,2,,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
586,"Askari 5, Malir Cantonment, Cantt",Cantt,Flat,3,3,286,38.5,,1,,2,,0,0,0,0,1,0,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
601,"Askari 5, Malir Cantonment, Cantt",Cantt,Flat,3,4,289,36,,0,,2,,1,1,0,0,1,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
610,"Askari 5, Malir Cantonment, Cantt",Cantt,Flat,3,3,286,37.5,,2,9,2,,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
629,"Askari 5, Malir Cantonment, Cantt",Cantt,Flat,3,3,267,37.5,,0,3,1,,0,0,0,0,0,0,1,1,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
75,"Askari 5 - Sector J, Askari 5, Malir Cantonment, Cantt",Cantt,House,5,5,375,71.5,,4,,,,0,1,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
76,"Askari 5 - Sector J, Askari 5, Malir Cantonment, Cantt",Cantt,House,5,5,375,70,1/1/2022,4,,,,0,1,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
105,"Askari 5 - Sector J, Askari 5, Malir Cantonment, Cantt",Cantt,House,5,5,375,71.5,,1,,,,0,0,0,0,1,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
129,"Askari 5 - Sector J, Askari 5, Malir Cantonment, Cantt",Cantt,House,5,6,375,70,,0,,,,0,0,0,0,0,0,0,1,1,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
150,"Askari 5 - Sector J, Askari 5, Malir Cantonment, Cantt",Cantt,House,5,6,375,70,,0,,,,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
151,"Askari 5 - Sector J, Askari 5, Malir Cantonment, Cantt",Cantt,House,5,7,375,68.5,,1,,,,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
176,"Askari 5 - Sector J, Askari 5, Malir Cantonment, Cantt",Cantt,House,5,5,375,73,,1,,,,0,0,0,0,1,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
177,"Askari 5 - Sector J, Askari 5, Malir Cantonment, Cantt",Cantt,House,5,5,375,71.5,,1,,,,0,0,0,0,1,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
302,"Askari 5 - Sector J, Askari 5, Malir Cantonment, Cantt",Cantt,House,5,5,375,69,,1,,,,0,0,0,0,1,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
336,"Askari 5 - Sector J, Askari 5, Malir Cantonment, Cantt",Cantt,House,5,5,375,70.5,1/1/2022,4,,,,0,1,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
364,"Askari 5 - Sector J, Askari 5, Malir Cantonment, Cantt",Cantt,House,5,5,375,69.5,,1,,,,0,0,0,0,1,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
365,"Askari 5 - Sector J, Askari 5, Malir Cantonment, Cantt",Cantt,House,5,5,375,71.5,,1,,,,0,0,0,0,1,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
366,"Askari 5 - Sector J, Askari 5, Malir Cantonment, Cantt",Cantt,House,5,5,375,72.5,,1,,,,0,0,0,0,1,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
376,"Askari 5 - Sector J, Askari 5, Malir Cantonment, Cantt",Cantt,House,5,7,375,69.5,,2,,,,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1
387,"Askari 5 - Sector J, Askari 5, Malir Cantonment, Cantt",Cantt,House,5,5,375,71.5,,1,,,,0,0,0,0,1,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
388,"Askari 5 - Sector J, Askari 5, Malir Cantonment, Cantt",Cantt,Flat,4,4,367,47.5,,1,,2,,0,0,0,0,1,0,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
389,"Askari 5 - Sector J, Askari 5, Malir Cantonment, Cantt",Cantt,Flat,4,4,367,48,,1,,2,,0,0,0,0,1,0,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
400,"Askari 5 - Sector J, Askari 5, Malir Cantonment, Cantt",Cantt,House,5,5,375,70,1/1/2022,4,,,,0,1,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
450,"Askari 5 - Sector J, Askari 5, Malir Cantonment, Cantt",Cantt,Flat,3,3,300,37.5,,1,,2,,0,0,0,0,1,0,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
490,"Askari 5 - Sector J, Askari 5, Malir Cantonment, Cantt",Cantt,Flat,4,4,367,46.5,,1,,2,,0,0,0,0,1,0,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
491,"Askari 5 - Sector J, Askari 5, Malir Cantonment, Cantt",Cantt,House,5,5,375,70,,1,,,,0,0,0,0,1,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
501,"Askari 5 - Sector J, Askari 5, Malir Cantonment, Cantt",Cantt,House,5,5,428,85,1/1/2022,4,,,,0,1,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
512,"Askari 5 - Sector J, Askari 5, Malir Cantonment, Cantt",Cantt,House,5,5,375,72.5,,1,,,,0,0,0,0,1,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
513,"Askari 5 - Sector J, Askari 5, Malir Cantonment, Cantt",Cantt,House,5,5,375,68.5,,1,,,,0,0,0,0,1,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
528,"Askari 5 - Sector J, Askari 5, Malir Cantonment, Cantt",Cantt,Flat,3,5,300,36.5,,1,,,,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
